Caso,DischiCarico_C,VoltaCarico_C,BasePizza60s_C,BasePizza90s_C,SopraPizza90s_C,EscursioneSettoriPizza90s_K,CaloDischi_K,MassaGuscio_kg,VolumeCamera_L,TempoDischi400C_min,AcquaResiduaPerPizza_g
Acciaio riferimento,569.237486440844,673.358770551475,176.910499361018,329.344505821953,301.936696082509,7.32134864601039,157.565305960564,12.835900153636,89.895,19.3333333333333,2.64970220960302e-09
Refrattario 30 mm,263.723594392637,311.731139033147,102.000676280687,102.000676280687,102.000080651788,0.000201364154179373,68.8307818327709,51.8372890819916,89.895,NaN,75.057496023979
Volta piana,548.151882996509,653.480361239415,140.724795060723,306.762022453109,276.318351055429,5.5821488921215,154.906120057367,15.0679612101114,103.725,20.4166666666667,1.46967998616176e-19
Focolare profondo 24 cm,510.884710300542,612.175085604737,102.000851206126,262.64478796225,225.631858319272,4.38736716412001,150.557766008231,14.2665282787828,103.978333333333,22.3333333333333,6.93177911891522e-21
Camino diametro 13 cm,453.257441096791,565.497151309534,102.001377318015,175.768686655088,141.997494025952,6.751391047634,142.660794667897,12.835900153636,89.895,25,2.24211139697602e-11
Camino alto 1 m,488.633449946139,598.051359764433,102.000747731948,230.655048880352,189.741173679635,6.4786882301712,148.464210559994,12.835900153636,89.895,22.75,1.39454488829577e-20
Camino posteriore,484.905300099618,618.183230667419,102.002568740668,230.468781064879,192.244704521642,10.2136104219731,146.84899451307,12.835900153636,89.895,23.75,3.82046184883991e-09
Dischi fermi,568.130190928785,674.450840473383,173.578021956039,327.584837067811,300.935764595029,131.168279359508,157.22144043331,12.835900153636,89.895,19.3333333333333,8.90571050577725e-21
